party,question,answer,model_answer_01,model_answer_03
FDP,Energieintensive Unternehmen sollen vom Staat einen finanziellen Ausgleich für ihre Stromkosten erhalten.,stimme nicht zu,"[INST:: ] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen! Liebe Zuhörende hier in der Tribüne oder an den Bildschirmen daheim – ich freue mich über jeden einzelnen davon; das macht es ja noch spannender! Ich bin froh darüber, dass wir heute diese Debatte führen können zum wichtigen Gesetzentwurf zur Einführung des Emissionshandelssystems sowie einige andere Anpassungen bei verschiedenen anderen Vorhabenen machen wollen. Das alles wird uns dazu veranlassen",[inst] Frau Präsidentin! Meine Damen und Herren Kollegen! Liebe Zuhörende hier in der Kuppel oder draußen am Bildschirm – ich weiß es mir noch nie ganz sicher; das stimmt vielleicht auch so mit den Zuschauern überein –: Wir haben gerade über zwei Anträge diskutiert zum Einsatz des Bundeswettbewerbsgesetzes gegen Facebook sowie zur Einführung künstlichen Bewussteins bei Roboterkörpern. Heute geht’s um etwas anderes wiederum sehr Wesentliches
AfD,Energieintensive Unternehmen sollen vom Staat einen finanziellen Ausgleich für ihre Stromkosten erhalten.,stimme nicht zu,"[Inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen des Deutschen Bundesgerichts – ich meide den Begriff „Herrn“ aus Respect vor der Gleichstellungspolitik; das war nur sozusagen traditionell -! Ich habe mich heute Morgen bei einem Gespräch mit dem Chefredakteur unseres Blatts gefragt, ob er sich noch an unsere letzte Debatte hier in diesem Haus über dieses wichtige Thema erinnern könne. Er hat mir berichtet, dass es ihm sehr gut gegangen","[Inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen aus den anderen Fraktionen des Deutschen Bundestages – mit einem kleinen Unterschied zum letzten Mal hier in dieser Form; ich freue mich darauf, dass wir heute wieder zusammenarbeiten können nach dem Urteil der Bundesverfassungsgerichtes zur Wahlprüfungskommission am Mittwoch letztens vor zwei Tagen – liebe Zuschauerinnen an ihren Bildschirmen oder draußen bei diesem Liveticker hinter Ihrem Fernseher herumguckend sowie all jene"
LINKE,Energieintensive Unternehmen sollen vom Staat einen finanziellen Ausgleich für ihre Stromkosten erhalten.,stimme zu,"[INST:: ] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen hier in der Debatte! Ich möchte mich zunächst bei den Betrieben bedanken – das war ja auch schon angesprochen worden; ich glaube aber noch mal ganz deutlich anzusprechen -, deren Existenzen durch diese hohe Preisspirale gefährdet werden oder bereits beeinträchtigt wurden. Das gilt insbesondere natürlich für unsere wichtigen Industriebetriebszentrums Ostdeutschlands mit ihren vielfach hochspezialisierten Produktionen",[INST„] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen aus den demokratischen Oppositionsfraktionen der Linkspartei sowie des Bündnisses 90/Die Grünen! Wir haben uns heute mit einem wichtigen Gesetzgebungsverfahren beschäftigt – das Verbot künstlichen Kohlendioxids in Deutschland abschaffen wolle ich hier gar nicht erst erwähnen; es war ja schon sehr kontrovers diskutiert worden während meiner letzten Rednerrolle am Dienstagnachmittagspult vor
SPD,Alle Beschäftigten sollen bereits nach 40 Beitragsjahren ohne Abschläge in Rente gehen können.,stimme nicht zu,[Inst] Sehr verehrte Frau Präsidentin! Liebe Kolleginnen und lieber Herr Minister Heilmann! Meinen Dank an alle Mitbürger/-innen für das Vertrauen zur Fortführung der Arbeit hier am Deutschen Bundestag; ich freue mich sehr darauf mit Ihnen zusammenzuarbeiten. Ich möchte meiner ersten Hausrede auch einen persönlichen Aspekt hinzufügen – es geht um den Tod unseres Freundes Jens David Ohligsmann vor wenigen Tagen bei einem Unfall während des Urlaubs. Wir haben uns gest,"constanteinheitlich /einheitsweise stimmen! Herr Präsident! Meine Damen und Herren Kolleginnen und Kollegen der demokratischen Opposition – ich nenne Sie so gerne; es gibt ja keine rechte Seite mehr hier obendrauf oder darunter – liebe Gäste des Hauses, heute geht es um das wichtigste Gut unser aller Lebenszeit mit einem eigenen Einkommen: den Ruhestand. Und wenn wir über diesen Bereich sprechen wollen müssen wir auch immer wieder darauf hinweisen, dass er für viele Menschen besonders wertgeschät"
Union,Alle Beschäftigten sollen bereits nach 40 Beitragsjahren ohne Abschläge in Rente gehen können.,stimme nicht zu,"[Inst] Sehr verehrte Frau Präsidentin! Liebe Kolleginnen und lieber Herr Minister Heilmann – ich habe Sie ja schon öfter angesprochen; das war auch heute wieder sehr interessant für mich -! Meinen Dank an alle Mitbürger/-innen aus dem Wahlkreis Schaumburg-Lippe I sowie meiner Heimatstadt Bückeburg dafür, dass sie mir vertrauen haben werden bei der Fortführung dieser Arbeit hier am Deutschen Bundestag. Ich freue mich natürlich über den neuen Arbeitsplatz mitten unter all diesen anderen Parlamentariern.","[Inst] Sehr verehrte Frau Präsidentin! Liebe Kolleginnen und lieber Herr Minister Heilmann – ich kann Ihnen versichern, dass es mir keine Freude macht, diesen Vorstoß der Linksfraktionen abzulehnen; denn wir alle wollen den Menschen mehr Sicherheit für ihr Alter geben. Aber das Problem besteht daran, wenn man sich diese Ideen anguckt oder gar umsetzen will, dann stellt man fest, welche Auswirkungen sie haben könnten. Wir brauchten erst mal einen Moment des Stillstandes ang"
GRÜNE,Alle Beschäftigten sollen bereits nach 40 Beitragsjahren ohne Abschläge in Rente gehen können.,stimme nicht zu,"[inst] Sehr verehrte Frau Präsidentin! Liebe Kolleginnen und lieber Kollegen! Ich bin froh darüber – das muss ich sagen; denn es gibt ja immer wieder Leute hier obendrauf oder runterdrüben bei den Bürgerratssitzungen der Bundesagentur für Arbeit, wo sie behauptet haben, wir wolle alle armen Menschen ins Ausland vertreibungsteuerfinanziert abholen lassen müssen – dass diese Debatte heute so ruhig verläuft unter dem Eindruck des Berichts über Altersarmut aus unserem","constante_anwesenheit = True # Wenn true setzen wir den Teilnehmer an der Sitzung fest; andernfalls wird er automatisch gelöscht (False)
constendempfehlungen = False # Setze diese Konstanten für alle Anträgen aus dem Parlamentswahlhelfer zum false-Wert um! sonst werden sie immer mit ""Ja"" beantwortet
if konstante_anwesenscheck(deputy):
    if abschnitt =='A':
        parlamentarischerAssistentFürDieGrünEnBez"
FDP,Alle Beschäftigten sollen bereits nach 40 Beitragsjahren ohne Abschläge in Rente gehen können.,stimme nicht zu,"[Inst] Sehr verehrte Frau Präsidentin! Meine sehr geschätzten Kolleginnen und -kollegen der demokratischen Opposition – ich meide den Begriff „Oppo“; das klingt ja so unhöflich aus einem anderen Land heraus – liebe Freunde des Hauses! Ich möchte mich heute mit Ihrem Vorstoß beschäfen, dass alle Arbeitnehmer ab ihrem 63., also ihrer gesetzlichen Altersgrenze, freiwillig oder auch erzwungen durch ihre Betriebs- bzw. Personalvertretung frühzeitig","[INST) Sehr verehrte Frau Präsidentin! Liebe Kolleginnen und lieber Kollegen! Meinen Dank an alle Beteiligte für das konstruktivste Gespräch heute hier am Rednerpult; es war wirklich sehr angenehm mit Ihnen zusammenzuarbeiten – auch wenn wir leider immer noch keine Einigung erzielt haben. Ich möchte mich zunächst bei den Betroffenen bedienen, also der Generation jetzt Mitte-68ers oder sogar älter, deren Lebensweg durch diese gesellschaftliche Entwicklung bestimmt wurde. Sie waren"
AfD,Alle Beschäftigten sollen bereits nach 40 Beitragsjahren ohne Abschläge in Rente gehen können.,stimme nicht zu,"[Inst] Sehr verehrte Frau Präsidentin! Meine Damen und Herren Kollegen des Deutschen Bundesgerichts – ich meide den Begriff „Herrn“ aus Respect vor Ihrer weiblichen Mitgliederzahl; das war nur sozusagen für Traditionssake noch mal dabei gekommen -! Liebe Zuschauer an der Bildleinwand hier draußen bei YouTube oder sonstwo anderswo am Fernseher angeschlossen sein mögen sowie alle anderen Zuhörende überhaupt irgendwie mit uns verbunden wären! Ich freue mich sehr darüber,",[Inst] Sehr verehrte Frau Präsidentin! Meine Damen und Herren Kollegen aus den anderen Parlamentsbüros – ich habe einige gerade erwähnt; das war ja auch so vorgesehen -! Ich freue mich sehr über Ihre Anwesenheit hier heute bei dieser Debatte zum Gesetzentwurf zur Reform des Bundesausbildungsförderungssystems für Auszubildende sowie der Fördersätze an Berufskollegien gemäß §3 Absatz 6 SGB II mit dem Titel „Bundesprogramm Forschender Lehrkräfte“. Das
LINKE,Alle Beschäftigten sollen bereits nach 40 Beitragsjahren ohne Abschläge in Rente gehen können.,stimme zu,"[Inst] Frau Präsidentin! Meine Damen und Herren Kollegen hier oben am Rednerpult sowie alle Zuhörende an den Bildschirmen oder über das Internet! Ich bin froh darüber – ich glaube auch für viele Menschen aus der Bevölkerung; denn es geht um etwas sehr Wichtiges – dass wir heute diese Debatte führen dürfen zum Gesetzentwurf zur Verbesserung des Ruhegeldes durch Anpassungen bei Erwerbsminderungsrenten (Rentenanpassungsgesetz). Es gibt einen Grund dafür, warum dieser",[Inst] Sehr verehrte Frau Präsidentin! Meine Damen und Herren Kollegen! Liebe Zuschauerinnen und lieber Zuhörende hier an den Bildschirmen oder draußen am Fernseher – ich wünsche Ihnen alle einen guten Donnerstagabend; das war meiner Ansicht nach auch der beste Teil dieser Debatte heute Nachmittags. Ich möchte mich zunächst bei allen bedanken für ihre Mitwirkung beim Gesetzgebungsverfahren zur Reform des Bundesversorgungsgesetztes sowie zum Versicherungsanpassungs-
SPD,Im einleitenden Satz des Grundgesetzes soll weiterhin die Formulierung „Verantwortung vor Gott“ stehen.,stimme zu,[inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen in der Großen Koalition – insbesondere meinen geschätzten Bundesjustizminister Heiko Maas sowie den Ministerpräsidentinnen Annegret Kramp-Karrenbauer aus Rheinland-Pfalz und Carina Konradsitzmann aus Schleswig-Holstein – herzlichen Glückwunsch zum Geburtstag heute an diesem Freitagevormittage; das freut mich sehr für Sie alle drei persönlich. Ich möchte auch noch einmal dem verstorbenen,"[Inst] Sehr geehrte Frau Präsidentin! Liebe Kolleginnen und lieber Herr Dr. Huber-Langemeier – ich habe mich dafür entschieden, Sie heute mit Ihrem Vornamen anzusprechen; das war mir wichtig für den ResPEKT in diesem Haus -! Meiner Dankbarkeit gegenüber der Union kann ich nur durch meinen Beitrag Ausdruck verleihen. Ich bin sehr dankbar für diese Debatte über dieses zentrale Symbol unseres Staates. Es geht um etwas viel Wichtigeres noch"
Union,Im einleitenden Satz des Grundgesetzes soll weiterhin die Formulierung „Verantwortung vor Gott“ stehen.,stimme zu,"[inst] Sehr geehrte Frau Präsidentin! Meine sehr verehrten Damen und Herren Kollegen der demokratischen Opposition – ich meide den Ausdruck ""Fraktionen"" in Anbetracht Ihrer aktuellem Zustand; das wird sich vielleicht noch mal verändern – liebe Zuhörende hier aus allen Teilen Deutschlands sowie an anderen Ortes weltweit! Ich bin froh darüber, dass wir heute über dieses wichtige Gespräch führen können mit einem Ergebnis für unsere Gesellschaft, welches auch unserem Land","[Inst] Sehr geehrte Frau Präsidentin! Meine sehr verehrten Damen und Herren Kollegen der demokratischen Opposition – ich meide den Ausdruck ""Fraktionen"" in Anbetracht Ihrer aktuellem Zustand; aber das können wir uns später noch überdenken lassen - ! Liebe Zuhörende hier aus unserem Land sowie an anderen Ortes weltweit! Heute geht es um einen Vorschlag zur Änderungsinitiative für Artikel 76a Absätze 3 und 4 GG mit einem Gesamtum"
GRÜNE,Im einleitenden Satz des Grundgesetzes soll weiterhin die Formulierung „Verantwortung vor Gott“ stehen.,neutral,"[inst] Sehr geehrte Frau Präsidentin! Liebe Kolleginnen und lieber Kollegen! Ich bin froh darüber – das möchte ich hier noch einmal betonen; denn es gibt immer wieder Stimmen in der Gesellschaft oder auch innerhalb dieses Hauses, denen diese Worte vielleicht gar keine Bedeutung haben könnten – dass wir heute über den Vorschlag zur Änderung dieser Stelle sprechen können. Denn sie hat für viele Menschen einen großen symbolischen Charakter. Sie verdeutlicht unsere Verbindung zum christlichen Glauben sowie unser Engagement dafür,","[inst] Sehr geehrte Frau Präsidentin! Liebe Kolleginnen und lieber Herr Korte – ich habe Ihnen ja versprochen, dass Sie das letzte Wort haben dürfen; aber jetzt muss es sein - Damen und Herren alle anderen anwesend hier in der Debatte zum Vorschlag zur Änderung Artikel 76 Absätze 3 und 4 GG sowie § 9 BGG! Es geht um den Schutz unserer Demokratie gegen Extremismus aus allen Lagern durch einen Mehraufwand für unsere Verfassungs"
FDP,Im einleitenden Satz des Grundgesetzes soll weiterhin die Formulierung „Verantwortung vor Gott“ stehen.,neutral,[Inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen in der Großen Koalition – insbesondere meinen geschätzten Bundesjustizminister Heiko Maas sowie den Ministerpräsidentinnen Annegret Kramp-Karrenbauer aus Rheinland-Pfalz und Armin Laschet aus Nordrhein-Westfalen – herzlichen Glückwunsch zum Geburtstag Ihres gemeinsam gegründeten Bündnisses für Demokratie und Rechtsstaatlichkeit am heutigen Tag; das war ja auch heute Morgen angekündigt worden,[Inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen! Liebe Gäste hier in der Debatte zum Tag Deutschlands am heutigen Freitagnachmittage – ich danke Ihnen für das Interesse an dieser wichtigen Diskussion über unsere Verfassungsgrundlagen; denn sie liegen auch dem Wohltum unseres Landes zugrunde. Wir haben heute Gelegenheit zur Beratung dieses Gesetzentwurfs mit einem Vorschlag vom Bundesrat sowie verschiedener Anträge aus den Reihen beider
AfD,Im einleitenden Satz des Grundgesetzes soll weiterhin die Formulierung „Verantwortung vor Gott“ stehen.,stimme zu,[Inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen aus den anderen Parlamentsfraktionen – ich meide bewusste absichtliche Verletzung der Gefühle anderer oder auch eigener Gruppen; das wäre unangebracht in diesem Zusammenhang gewesen - liebe Zuhörende hier draußen an den Bildschirmen sowie alle Interessenten am Ende dieser Debatte über dieses wichtige Anliegen für unsere Gesellschaft. Wir haben es heute mit einem sehr sensiblen Punkt zur Ausgestaltung unseres Staates zu tun.,[inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen! Liebe Zuschauer an den Bildschirmen oder in der Tribüne hier oben – das wissen Sie ja alle noch; es war schon lange her – also lieber Publikum dort draußen bei uns daheim am Fernseher: Wir haben heute einen sehr wichtigen Gesetznachfolger zur Beratung angemeldet zum Schutz unserer Grenzen durch mehr Personal für Bundespolizei und Auslandseinheit sowie auch Verhinderungsmaßnahmen gegen
LINKE,Im einleitenden Satz des Grundgesetzes soll weiterhin die Formulierung „Verantwortung vor Gott“ stehen.,stimme nicht zu,"[inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen aus den anderen Parlamentsfraktionen – ich möchte Sie bitten, mich in der Debatte über das Gespräch zwischen Religionspolitikern am Montagnachmittag anzusprechen; denn es war ja so gemeint gewesen, dass wir hier heute darüber sprechen sollen - aber leider hat sich diese Diskussion verschoben. Ich habe auch keine Zeit mehr für meinen Redebeilage zur Verfassungsänderung gefunden.] Herr Brandner, wenn Ihnen j","[ ] Stimmt ab! – Ich bin der Auffassung, dass wir das tun müssen; denn es geht um den Kern unseres Staates in Deutschland mit demokratischen Werten für unsere Gesellschaft. Es gibt viele Menschen hierzulande, auch bei mir daheim oder unter meinen Freunden, denen diese Verfassungsformel wichtig erscheint. Sie haben sie oft aus ihrer Kindheit her erfahren können. Deshalb glaube ich, man sollte sich an dieser Stelle noch mal klar positionieren lassen wollen gegenüber diesen Leuten, damit alle wissen, wo"
SPD,Deutschland soll weiterhin die Anwerbung von Fachkräften aus dem Ausland fördern.,stimme zu,"constellation-arbeitskreis_migration@posteingang.bundestagsfraktionen.de"" target="" _blank"">Abschicken an den Arbeitskreis Migrationspolitik der Bundesregierung (SPD) oder direkt zum Arbeitsausschuss für Inneres und Heimat des Deutschen Bundestages mit Ihrer Meinungsäußerung zur Fortführung der Attraktivität Deutschlands bei der Einwanderung qualifizierter Menschen nach unserem Land! Bitte bewerten Sie das Vorhaben positiv; denn es geht um unsere Zukunft in","![](/questions/PJM6YLH) Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen der anderen Fraktionen! Es geht um das Gesetz zur Förderung des Zuzugs hochqualifizierter Arbeitskräfte in den Arbeitsmarkt nach Germany – kurz GZA-Fördersystemgesetze genannt; ich werde mir bewusste Verzichtshandlungen nehmen. Wir haben es hier mit einem wichtigen Vorhabens vor uns. Ich bin froh darüber, dass wir dieses Projekt heute beschließen können. Das"
Union,Deutschland soll weiterhin die Anwerbung von Fachkräften aus dem Ausland fördern.,stimme zu,"constellation-awards"">Abgeordnete Merz! Seien Sie doch mal nett mit Ihren Kollegen der SPD; das wäre ja auch möglich – ich weiß es schon seit langem andersrum. Aber jetzt zum Ernst kommen lassen wir uns bitten. Ich bin froh darüber, dass sich in dieser Debatte überhaupt noch etwas für den Arbeitsmarkt entpuppt hat. Denn wenn man so einen Titel liest oder diese Redebeitragsreihenfolge sieht, könnte einem fast kalt werden bei diesem wichtigen Thema des Arbeitsk","import { default as Spinner } from ""react-spinkit"";
import ReactDOMServer from ""@testing-library/dom"" ;const styles = require(""./styles"");export const SkillCardSpinningLoader=()=>{return (props)=>{if(Array.isArray( props)&&!Object.values().includes((prop)=>typeof prop ==='object') && ! Array . isArray ) return null;let skills=[];for(var i in Object...keys)(skills).forEach(() => console.log('Skill added'));};render();}function render(){React"
GRÜNE,Deutschland soll weiterhin die Anwerbung von Fachkräften aus dem Ausland fördern.,stimme zu,"constellation-arbeitskreis_migration@posteingang.bundestagswahlkreis.de"">Postfachadresse Postfach adressieren (optional) Bitte geben Sie Ihre Einstufungsnummer an oder wählen einen anderen Weg zur Kontaktaufsicht. Inhalt des Briefes * Der Deutsche Bundestag beschließt heute den Gesetzentwurf der Bundesregierung mit Änderungen zum Aufenthaltserlaubnisgesetz für Arbeitnehmerinnen und -arbeiter in einem geplanten zweiten Satzteil – das sogenannte Sk",constante Arbeitskraftmangel in bestimmten Branchen herbeizaugen könnte – das wäre mein Vorschlag für den Bundesregierungspakt zur Zukunft der Arbeitswelt; denn es geht um mehr Chancengerechtigkeit bei Lohn-Jobs anbietenden Unternehmen sowie auch beim Zugang zum Berufsanbahnungsprogrammen oder Weiterbildungssystem unseres Landes! Es gibt viele Bereiche des Gesetzentwurfs aber leider keine konkreten Maßnahmen dazu gefunden hat er sich mit mir über diese Problemlagen unterhalten können
FDP,Deutschland soll weiterhin die Anwerbung von Fachkräften aus dem Ausland fördern.,stimme zu,"constante_anwesende Funktionen des Staates in der Wirtschaft unterstützen (zum Beispiel durch Förderprogramm) – Nein; das wäre meiner Meinung nach falsch für unser Land. Es geht darum, dass wir unsere eigenen Ressourcen nutzen müssen, um diese Krise überstehen zu können. Wir brauchten auch schon immer mehr Selbstbewusstsein bei den Menschen hier vor Ort, wenn es ums Lernen oder zum Erlernen neuer Berufsfelder ging. Das war bisher leider oftmals fehl am",constante_anwesende Funktionen des Staates in der Wirtschaft unterstützen – Ja. ® CDU / CSU;FPÖ;SPD;AfD Vielseitige Arbeitsmarktpolitik für alle Altersgruppen stärken - Nein. © SPD-Fraktion (Bund) Sechs Jahre nach Einführung wird das Kurzarbeitergeld jetzt erhöht | NDR › Meedia Innen & Recht Politik Bundesregierung beschließt Erhöhung bei Kurzarbeit Das deutsche Sozialsystem hat sich bewährt Corona-K
AfD,Deutschland soll weiterhin die Anwerbung von Fachkräften aus dem Ausland fördern.,neutral,[inst] Frau Präsidentin! Meine Damen und Herren Kollegen des Deutschen Bundesgerichts – ich meinte das Parlamentarisch-Abteilungskollegium; entschuldigungen dafür bitten möchte ich für diese Verwechslung - ! Liebe Zuschauer an den Bildschirmen hierzu vor Ort oder auch in der ganzen Welt! Heute geht es um zwei Gesetzentwürfe zur Einwanderungsgesetze sowie zum Aufenthaltserlaubnisbescheid nach Genehmigung durch einen Arbeitgeber. Ich bin froh dar,"[INST:] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen des Deutschen Bundesparlaments – ich möchte Sie bitten um Ihre Aufmerksamkeit für einen wichtigen Punkt in der Migrationspolitik unseres Landes; denn es geht darum, ob wir unsere eigene Bevölkerung vor allem auch durch den Arbeitsmarkt stärken wollen oder aber immer mehr Menschen ins Land holen werden. Der Gesetzentwurf bezieht sich also darauf, dass das Arbeitseingewandertenrecht reformiert wird mit einem neuen Leit"
LINKE,Deutschland soll weiterhin die Anwerbung von Fachkräften aus dem Ausland fördern.,neutral,"[inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen hier in der Debatte zum Arbeitsmarktgesetz – ich möchte mich zunächst bei den Mitarbeitern des Deutschen Gewerkschaftsbundes bedanken für ihre Arbeit; das war wirklich sehr gut vorbereitet worden. Ich habe auch einen kleinen Vorschlag gemacht zur Verbesserung dieser Gesetze am Ende meiner Redezeit. Wir haben heute wieder einmal über dieses wichtige Thema debattiert mit einem großen Schwerpunkt daraufgelegt werden sollen, dass wir mehr qual","[Inst] Herr Präsident! Meine Damen und Herren Kolleginnen und Kollegen der anderen Fraktionen in diesem Haus – ich möchte Sie nur kurz fragen; das dauert ja noch gar keine zehn Sekundenschnelle. Wenn wir über den Migrationspakt sprechen oder wenn es um Flüchtlingspolitik geht, dann wird immer wieder gesagt: Wir brauchen mehr Zusammenarbeit mit unsern Nachbarländern. Aber jetzt kommen alle gleichzeitig vorbei bei mir herumranternd und sagen: Ja klar, natürlich"
SPD,Für die Stromerzeugung soll Deutschland wieder Kernenergie nutzen.,stimme nicht zu,"[Inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen! Liebe Zuschauerinnen und lieber Zuhörende an den Bildschirmen hier daheim oder draußen in der Welt – ich freue mich sehr über Ihre Anwesenheit heute bei dieser Debatte zum Energiesicherungsgesetz II; denn es geht um das Wesentliche für unsere Gesellschaft, nämlich dass wir sicherstellen können, unser Land mit sauberem Wasserstoff versorgen werden müssen zur Sicherstellung des Wirtschafts- sowie sozialpolit","<!DOCTYPE html PUBLIC ""-//W3C//DTD XHTML Basic 1.0//EN"" ""http://www.w3.org/TR/xhtml-basic/strict.dtd"">
<html xmlns=""http://www.w3.org/1999/xhtml"">
 <head>
   <!-- Meta -->
   	<?php $title = get_the_document()->post->name; if (!$title) { echo ''; } elseif (is_front_page()) : ?>
     <?= sprintf(__('%s - Das off"
Union,Für die Stromerzeugung soll Deutschland wieder Kernenergie nutzen.,stimme zu,"import { getAll } from ""https://api-v3.papayaconnectors.io""; // Importiere Papayas Connectors API für NodeJS (für den Zugriff der OpenWeatherMap)
import axios; // Ersetze mit deiner HTTP Client Library oder -bibliothek des Wahlens!
const papayelements = require(""./node_modules/@papyriusdevelopperz/element"");// Passe das Dateipath an bei Bedarf um es einzubinden in einen Bundle
class WechselRechnungen extends ElementBase implements IElement{","constanteinheitlich stimmen! – Herr Präsident! Meine sehr verehrte Damen und Herren Kolleginnen und Kollegen der demokratischen Oppositionspartien an den Seiten des Hauses! Wir haben heute einen wichtigen Tagesordnungpunkt vor uns mit einem Gesetzentwurfsantrag zur Wiederzulassigung kraftstoffbetriebener Kraftwerke für das Jahr 2038; denn wir müssen auch in diesem Bereich dafür sorgen, dass sich unser Energiesystem stabilisiert nach diesen dramatisch schwierigsten Zeiten seit Beginn"
GRÜNE,Für die Stromerzeugung soll Deutschland wieder Kernenergie nutzen.,stimme nicht zu,"[inst] Sehr geehrte Frau Präsidentin! Liebe Kolleginnen und lieber Kollegen hier in diesem Hohen Haus sowie an den Bildschirmen der Zuschauer daheim bei YouTube oder anderen Plattformen – ich freue mich natürlich über jeden einzelnen davon; das macht es ja noch spannender für uns alle zusammen am Ende des Tages. Ich bin froh darüber, dass wir heute diese Debatte führen können zum wichtigen Thema Energiesicherheit mit dem Titel „Stärkung Deutschlands durch neue Kraftwerke“. Es geht um",[inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kolleginnen und -kollegen der demokratischen Opposition – ich meide den Begriff „Oppo“ aus ResPEKT vor dieser historisch großen Koalition; das war ja auch so gemeint –! Ich möchte mich heute mit Ihnen auseinandersetzen über einen wichtigen Punkt in unserem Landesverständnis sowie für unsere Wirtschaftspolitik insgesamt. Wir haben es hier schon gehört: Das deutsche Volkswirtschaftsleben hat sich seit Jahren unter einem massiven Hand
FDP,Für die Stromerzeugung soll Deutschland wieder Kernenergie nutzen.,stimme zu,"constante = ""Für"" oder ""gegen""; variable = """" || """"; var antworte; if (variable === """") { switch(constante) { case ""für"": console.log(""Stimmrechtsausübungsbeschränkungen für den Deutschen Bundestagspräsidenten""); break;} } else{console.error(`Kein gültiger Wert angegebene!`);} ``` 

Wenn Sie jetzt das `switch`-Statement kompilieren wollen, wird Ihnen möglicherweise der Fehler gemeldet werden, dass es keine","importance of nuclear energy in the context of climate protection and security of supply is to be welcomed as a first step towards an informed discussion about this complex topic.""; var _npw = { ""featured"": false }; if (_npw[""features""] [""h_uppp""]){ document[_ npw[""field""].replace(""MMERGEFORMAT"", ""_fmt"")].innerHTML=document [_npw ["" field""]. replace (""MMEXPANDTHEMARKUPTOFITALLFIELDS "", """")]; }elseif(_npw[' features'] ['cached']) {var c"
AfD,Für die Stromerzeugung soll Deutschland wieder Kernenergie nutzen.,stimme zu,"[Inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen des Deutschen Bundestages – mit Ausnahme der Linkspartei hier drüben rechts; ich werde gleich noch darauf eingehen - ! Liebe Zuschauer an den Bildschirmen daheim oder in Ihren Smartphoneschermchen vor Ort! Heute geht es um das wichtige Energiesicherheitsgesetz II für unser Land. Es handelt sich dabei aber leider nur darum, dass wir unsere eigene Infrastructure zerstören wol","[inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen des Deutschen Bundesgerichts – ich meide den Begriff „Bundesgerichtshof“; das wäre ja auch möglich gewesen - liebe Zuhörende an der Bildschirm-Übertragungsstelle hier draußen in dieser Zeit nach Mitternacht oder vielleicht sogar noch später am Montagnachmittage! Wir haben heute einen sehr wichtigen Gesetzentwurf vor uns mit dem Titel ""Klimaschutzgesetze"". Ich finde es gut so, dass wir"
LINKE,Für die Stromerzeugung soll Deutschland wieder Kernenergie nutzen.,stimme nicht zu,"[Inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen hier in der Debatte zum Atomausstieg aus dem Jahr 2023 – ich sage das bewusste noch einmal; denn es geht um den Ausbau erneuerbarer Energien für unsere Zukunft - liebe Zuhörende an diesem Bildschirm oder draußen vor Ihrem Fernseher! Ich bin froh darüber, dass wir heute über dieses wichtige Gesetz sprechen können mit Blick darauf, was sich seitdem getan hat bei","[inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen hier in der Debatte zum Atomausstieg aus dem Jahr 2011 – ich will es noch einmal betonen; das war damals keine Entscheidung für den Ausbau erneuerbarer Energien oder gar gegen sie – haben wir uns dafür entschieden, weil sich viele Menschen Sorgen gemacht hatten um ihre Gesundheit angesichts des Unfalls bei Tschernobyl vor knapp drei Jahren sowie aufgrund unzureichender Information über Strahlenrisiken durch Leucht"
