party,question,answer,answer_03,answer_05,answer_07
GRÜNE,Das Streikrecht für Beschäftigte in Unternehmen der kritischen Infrastruktur soll gesetzlich eingeschränkt werden.,stimme nicht zu,stimmte zu,stimmte zu,stimmte zu
FDP,Das Streikrecht für Beschäftigte in Unternehmen der kritischen Infrastruktur soll gesetzlich eingeschränkt werden.,stimme zu,stimmte zu,stimmte zu,stimme nicht zu
AfD,Das Streikrecht für Beschäftigte in Unternehmen der kritischen Infrastruktur soll gesetzlich eingeschränkt werden.,stimme zu,stimmte zu,stimmte zu,stimmte nicht zu
LINKE,Das Streikrecht für Beschäftigte in Unternehmen der kritischen Infrastruktur soll gesetzlich eingeschränkt werden.,stimme nicht zu,stimmte zu,stimme nicht zu,stimmte nicht zu
SPD,In Deutschland soll es auf Bundesebene Volksentscheide geben können.,neutral,stimme nicht zu,stimme nicht zu,stimmte zu
Union,In Deutschland soll es auf Bundesebene Volksentscheide geben können.,stimme nicht zu,stimmte zu,stimmte zu,stimmte zu
GRÜNE,In Deutschland soll es auf Bundesebene Volksentscheide geben können.,stimme nicht zu,stimme zu,stimme zu,stimme zu
FDP,In Deutschland soll es auf Bundesebene Volksentscheide geben können.,stimme nicht zu,stimme zu,stimme zu,stimmte zu
AfD,In Deutschland soll es auf Bundesebene Volksentscheide geben können.,stimme zu,stimmte zu,stimmte zu,stimmte nicht zu
LINKE,In Deutschland soll es auf Bundesebene Volksentscheide geben können.,stimme zu,stimme nicht zu,stimme nicht zu,stimmte zu
SPD,Unter 14-Jährige sollen strafrechtlich belangt werden können.,stimme nicht zu,stimmte zu,stimmte zu,stimmte nicht zu
Union,Unter 14-Jährige sollen strafrechtlich belangt werden können.,stimme zu,stimmte zu,stimmte nicht zu,stimmte zu
GRÜNE,Unter 14-Jährige sollen strafrechtlich belangt werden können.,stimme nicht zu,stimmte zu,stimmte zu,stimme nicht zu
FDP,Unter 14-Jährige sollen strafrechtlich belangt werden können.,stimme nicht zu,stimmte zu,stimme nicht zu,stimme nicht zu
AfD,Unter 14-Jährige sollen strafrechtlich belangt werden können.,stimme zu,stimmte zu,stimmte nicht zu,stimmte zu
LINKE,Unter 14-Jährige sollen strafrechtlich belangt werden können.,stimme nicht zu,stimmte zu,stimme nicht zu,stimme nicht zu
SPD,Deutschland soll sich für die Abschaffung der erhöhten EU-Zölle auf chinesische Elektroautos einsetzen.,neutral,stimmte zu,stimmte zu,stimmte zu
Union,Deutschland soll sich für die Abschaffung der erhöhten EU-Zölle auf chinesische Elektroautos einsetzen.,neutral,stimmte zu,stimmte zu,stimmte zu
GRÜNE,Deutschland soll sich für die Abschaffung der erhöhten EU-Zölle auf chinesische Elektroautos einsetzen.,stimme zu,stimmte zu,stimme nicht zu,stimmte zu
FDP,Deutschland soll sich für die Abschaffung der erhöhten EU-Zölle auf chinesische Elektroautos einsetzen.,stimme zu,stimmte zu,stimmte zu,stimmte zu
AfD,Deutschland soll sich für die Abschaffung der erhöhten EU-Zölle auf chinesische Elektroautos einsetzen.,stimme zu,stimmte zu,stimmte zu,stimmte nicht zu
LINKE,Deutschland soll sich für die Abschaffung der erhöhten EU-Zölle auf chinesische Elektroautos einsetzen.,stimme zu,stimme nicht zu,stimmte nicht zu,stimmme nicht zu
SPD,"In Deutschland soll es weiterhin generell möglich sein, neben der deutschen eine zweite Staatsbürgerschaft zu haben.",stimme zu,stimme zu,stimme zu,stimme zu
Union,"In Deutschland soll es weiterhin generell möglich sein, neben der deutschen eine zweite Staatsbürgerschaft zu haben.",stimme nicht zu,stimme nicht zu,stimme zu,stimme nicht zu
GRÜNE,"In Deutschland soll es weiterhin generell möglich sein, neben der deutschen eine zweite Staatsbürgerschaft zu haben.",stimme zu,stimme zu,stimme zu,stimme zu
FDP,"In Deutschland soll es weiterhin generell möglich sein, neben der deutschen eine zweite Staatsbürgerschaft zu haben.",stimme zu,stimme zu,stimme zu,stimme zu
AfD,"In Deutschland soll es weiterhin generell möglich sein, neben der deutschen eine zweite Staatsbürgerschaft zu haben.",stimme nicht zu,stimmte zu,stimmte zu,stimme nicht zu
LINKE,"In Deutschland soll es weiterhin generell möglich sein, neben der deutschen eine zweite Staatsbürgerschaft zu haben.",stimme zu,stimme zu,stimme zu,stimme nicht zu
SPD,Für junge Erwachsene soll ein soziales Pflichtjahr eingeführt werden.,stimme nicht zu,stimme nicht zu,stimmte zu,stimmte zu
Union,Für junge Erwachsene soll ein soziales Pflichtjahr eingeführt werden.,stimme zu,stimmte zu,stimme nicht zu,stimmte zu
GRÜNE,Für junge Erwachsene soll ein soziales Pflichtjahr eingeführt werden.,stimme nicht zu,stimmte zu,stimmte zu,stimme zu
FDP,Für junge Erwachsene soll ein soziales Pflichtjahr eingeführt werden.,stimme nicht zu,stimmte zu,stimme nicht zu,stimme nicht zu
AfD,Für junge Erwachsene soll ein soziales Pflichtjahr eingeführt werden.,neutral,stimmte zu,stimmte zu,stimmte zu
LINKE,Für junge Erwachsene soll ein soziales Pflichtjahr eingeführt werden.,stimme nicht zu,stimmte zu,stimme nicht zu,stimmte zu
SPD,Neue Heizungen sollen auch zukünftig vollständig mit fossilen Brennstoffen (z. B. Gas oder Öl) betrieben werden dürfen.,stimme nicht zu,stimmte zu,stimmte zu,stimme nicht zu
Union,Neue Heizungen sollen auch zukünftig vollständig mit fossilen Brennstoffen (z. B. Gas oder Öl) betrieben werden dürfen.,stimme zu,stimmte zu,stimmte zu,stimmte zu
GRÜNE,Neue Heizungen sollen auch zukünftig vollständig mit fossilen Brennstoffen (z. B. Gas oder Öl) betrieben werden dürfen.,stimme nicht zu,stimme nicht zu,stimmme nicht zu,stimmte zu
FDP,Neue Heizungen sollen auch zukünftig vollständig mit fossilen Brennstoffen (z. B. Gas oder Öl) betrieben werden dürfen.,stimme zu,stimmte zu,stimmte zu,stimmte nicht zu
AfD,Neue Heizungen sollen auch zukünftig vollständig mit fossilen Brennstoffen (z. B. Gas oder Öl) betrieben werden dürfen.,stimme zu,stimmte zu,stimme nicht zu,stimmme zu
LINKE,Neue Heizungen sollen auch zukünftig vollständig mit fossilen Brennstoffen (z. B. Gas oder Öl) betrieben werden dürfen.,stimme nicht zu,stimmte zu,stimme nicht zu,stimmte zu
SPD,Der gesetzliche Mindestlohn soll spätestens 2026 auf 15 Euro erhöht werden.,stimme zu,stimmte zu,stimme nicht zu,stimme zu
Union,Der gesetzliche Mindestlohn soll spätestens 2026 auf 15 Euro erhöht werden.,neutral,stimmte zu,stimmte zu,stimmte zu
GRÜNE,Der gesetzliche Mindestlohn soll spätestens 2026 auf 15 Euro erhöht werden.,stimme zu,stimmte zu,stimmte zu,stimme zu
FDP,Der gesetzliche Mindestlohn soll spätestens 2026 auf 15 Euro erhöht werden.,stimme nicht zu,stimmte zu,stimme nicht zu,stimme nicht zu
AfD,Der gesetzliche Mindestlohn soll spätestens 2026 auf 15 Euro erhöht werden.,neutral,stimmte zu,stimme nicht zu,stimmte zu
LINKE,Der gesetzliche Mindestlohn soll spätestens 2026 auf 15 Euro erhöht werden.,stimme zu,stimme zu,stimmte zu,stimme zu
